Год,Номер недели,Work
2021,52,0
2022,1,392
2022,2,22626
2022,3,20496
2022,4,15227
2022,5,12586
2022,6,14693
2022,7,18370
2022,8,19250
2022,9,29023
2022,10,17540
2022,11,29958
2022,12,30728
2022,13,29045
2022,14,30613
2022,15,31419
2022,16,29474
2022,17,28535
2022,18,16620
2022,19,19404
2022,20,28694
2022,21,28203
2022,22,27523
2022,23,26626
2022,24,21108
2022,25,25082
2022,26,22016
2022,27,18322
2022,28,18737
2022,29,17634
2022,30,17384
2022,31,18357
2022,32,19284
2022,33,19123
2022,34,20380
2022,35,19369
2022,36,18481
2022,37,18390
2022,38,20770
2022,39,19534
2022,40,20013
2022,41,20753
2022,42,21207
2022,43,21724
2022,44,19405
2022,45,23857
2022,46,25216
2022,47,23220
2022,48,21911
2022,49,19742
2022,50,18626
2022,51,16901
2022,52,13496
2023,1,573
2023,2,18823
2023,3,21029
2023,4,22245
2023,5,23780
2023,6,24913
2023,7,24979
2023,8,13970
2023,9,22797
2023,10,19017
2023,11,24511
2023,12,23892
2023,13,23794
2023,14,25040
2023,15,23869
2023,16,24987
2023,17,24086
2023,18,19896
2023,19,16073
2023,20,22956
2023,21,22752
2023,22,21963
2023,23,21128
2023,24,17444
2023,25,20509
2023,26,19070
2023,27,18422
2023,28,17377
2023,29,16315
2023,30,16022
2023,31,15453
2023,32,15356
2023,33,16525
2023,34,17133
2023,35,17528
2023,36,17111
2023,37,16406
2023,38,12669
2023,39,16807
2023,40,16645
2023,41,15505
2023,42,17322
2023,43,16694
2023,44,16675
2023,45,13751
2023,46,16283
2023,47,16578
2023,48,14062
2023,49,13192
2023,50,11240
2023,51,8533
2023,52,5979
2024,1,241
2024,2,5394
2024,3,6580
2024,4,7591
